No,Product,Category,Module,Test_No,Question,Possible_Answer,Answer_Explanation,Domain,Answer1,Answer2,Answer3,Answer4,True_Answer
1,Flashcard test,Program Management,test1,1,As a program manager how will you set higher level program direction to achieve program goals and benefits?,4,"To achieve program goals and benefits, you will prepare Vision Statement to start with to set higher level program direction.
Program Plan is correct too. But Vision statement is better choice.
Program Management Plan and Roadmap won't serve better purpose",Strategic Alignment,By creating program plan,By creating Program Management Plan,By preparing vision statement,By creating Roadmap,By preparing vision statement
2,PgMP Sample Questions,Program Management,Strategy Alignment,1,Which one is most important for board to decide whether program can be approved or not?,4,"Benefits are most important for board. Risks, Constraints and Resources are important too, but none of them is as or more important to Benefits",Strategic Alignment,Resources,Risks,Constraints,Benefits,Benefits
3,PgMP Sample Questions,Program Management,Strategy Alignment,1,A program proposal to generate a Uranium based power plant is under review. What is most important for board to decide whether program can be approved or not?,4,"Uranium is a well known hazardous substance. And hence, most important factor for board is to determine if program will comply to relevant laws and regulations or not.
Resources, Benefits and Constraints though important, in this case, are less important factors.",Strategic Alignment,Legal & Regulatory Compliance,Resources,Benefits,Constraints,Legal & Regulatory Compliance
4,PgMP Sample Questions,Program Management,Strategy Alignment,1,You are part of steering board and represent yourself as a head of operations. Which one is most important for you to approve the program?,4,"In order to approve the program program's financial needs are most important of all the listed. Financial needs represent the Cost part of the benefits and cost balance.
Impact to ongoing operations can come next.
And interactions between program & operational activities and operational requirements from program are not standard criterias to approve the program",Strategic Alignment,Impact to ongoing operations activities,Interactions between program and operational activities,Program's financial needs,Operational requirements from program,Program's financial needs
5,PgMP Sample Questions,Program Management,Strategy Alignment,1,Your program is approved by the selection committee. What should you do first from the list?,4,"Once the program is approved, program manager should prepare mission statement first.
Remaining options are already conducted before the program gets approved. i.e. Preparation Business Case, High Level Program Roadmap and Identifying Program Requirements.",Strategic Alignment,Prepare mission statement,Prepare business case,Prepare high level program roadmap,Identify program requirements,Prepare mission statement
6,PgMP Sample Questions,Program Management,Life Cycle Management,1,"In medical equipment manufacturing company, you are program manager of a program that is expected to design and build a new generation of scanning equipment. Your program may possibly run over 4 - 5 years. You are in program initiation phase and your primary focus should be to",4,"Determining program budget comes later.
Defining program's risk profile is irrelevant choice. It should be identifying organization's risk profile.
In initiation phase, program component's interdependencies are not defined.
You should try to determine program's approach to produce the expected benefits",Life Cycle - Initiating,Determine initial program budget,Determine program's approach to produce the expected benefits,Define program's risk profile,Define interdependency between program components,Determine program's approach to produce the expected benefits
7,PgMP Sample Questions,Program Management,Life Cycle Management,1,"You are program manager of a new Australian bank and have seven projects in your program. Program is unique and no such program experience exist in your bank. Your sponsor and upper management is quite supportive for the program. Although component manager are not being able to keep up with the schedule requirements. They have been approaching program management team regularly with their concerns, queries and clashes. As a program manager what should you do?",4,"Project managers need processes, policies and guidelines to follow for common approach and consistency. This is how they can work in coordination in mutual interdependent presence of other projects. This responsibility lies at program management and not at project management. (SPM v3 pg86)

Project management training will fix specific project management issues, but not issues arising due to interdependency of the component projects.

Organizing a workshop of project managers with project management office can help dealing with specific project management issues.

Organizing a meeting to learn project managers' concerns may not fix the issues either. This is because, project managers will have visibility of the individual projects. They will not have overall consistency and procedural issues. A meeting of this sort may help in some circumstances. But not best choice of response here.",Life Cycle - Planning,Organize Project Management Training for Project managers,Organize workshop of Project managers with project management office,"Ask program team to prepare processes, policies and guidelines",Ask program team to organize meeting to learn concerns of project managers,"Ask program team to prepare processes, policies and guidelines"
8,PgMP Sample Questions,Program Management,Life Cycle Management,1,"You are managing a program through its delivery phase. The program has 9 components and 3 components have already completed. Component managers are regularly updating with status and performance reports on the basis of which you take further decisions for any required changes either program wide or for any specific components. Recently one of the components was recommended to be closed by the component manager claiming all work is completed and outcomes transferred to successor components. Although successor components claimed that transferred outcomes are not complete. After careful analysis, you revealed that the component to be closed, implemented a work package partially. What could be the next step?",4,"A component has missed to implement some of its scope and it is still not closed. So that component should be managed further to fulfill its interdependency and complete its full scope.(SPM v3 pg69)

Benefits Realization Plan rebaseline is not required since overall program scope hasn't changed and expected program benefits haven't changed.

Program roadmap and master schedule may or may not need to be updated. Even if it may need to be updated, better choice is to deal with the component that missed some part of the deliverables.",Life Cycle - Execution,Benefits Realization Plan needs to be rebaselined to include missing outcomes,Component should be managed to fulfill its interdependency,Program Roadmap and Master Schedule should be realigned to include missing outcomes,Missing outcomes should be included to be managed along with ongoing successor component,Component should be managed to fulfill its interdependency
9,PgMP Sample Questions,Program Management,Life Cycle Management,1,"Your program to design, develop and manufacturer a digital lathe machine for one of the major clients to meet their future market demand is going well. It is a 3 year program. Program is running in second year and it is in program delivery phase and program change management processes are in place. You knew from your program team that a component manager has raised an issue that he thinks is a critical issue for the program. Program team has recorded the issue to issue log. You should now,",4,"As a program manager, you should decide activities to be carried out for the resolution of the issue. Remember you are the program manager and leadership should remain with you. Anything that may affect the program and its objectives, should have your attention.

In most cases, you shouldn't only work with component manager in isolation to determine the issue resolution. Component manager's opinion should be heard, although you should apply broader  view at program level before the resolution can be determined.

Issue owner should be decided, although the issue  can not be just delegated to owner to decide the issue resolution. Program manager should own the leadership and guidance in terms of issue resolution decision. Issue resolution activities can be delegated to program team or component managers.

You may direct your program team for the issue resolution. Although first you should decide the activities for the resolution of the identified issue.",Life Cycle - Controlling,decide the activities for the resolution of the identified issue,Analyze the issue with component manager to decide whether it is a program level issue or component level,Decide the owner of the issue who will own it till its resolution,Direct your program team to resolve the issue.,decide the activities for the resolution of the identified issue
10,PgMP Sample Questions,Program Management,Life Cycle Management,1,"Your program was to build a monumental bridge across Parramatta River. After 3 years of planning and delivery of individual components finally the bridge is build. Governance board has members from both government department authorities and senior members of your own organization. Board had approved program closure and your team prepared the program transition and sustainment plans. Almost all the transition plans are now executed with success and positive consents from the stakeholders. You should,",4,"You already run through program transition sub phase activities. While program is progressing through program closure phase, you should make sure that lessons learned are stored to program management information system as per the planned guidelines. This is one area, where in reality program management teams miss out in excitement of closing the program. (PgMP ECO pg11)

At this stage, governance board's consultation is not required. Board already approved to proceed to program closure phase once program delivery phase ended.

Program sustainment plans should be prepared during program benefits transition phase. In scenario this phase has almost ended. So sustainment plans should already be ready by now.

Preparation of sustainment plans should be part of the program scope, although implementation of the sustainment plans should be outside the scope for program. And even though officially in scope of the program, it generally is dealt as a separate activity performed after program closure.",Life Cycle - Closing,consult program's governance board so that program can proceed to program closure phase,make sure that lessons learned are stored to program management information system as per the planned guidelines,now turn your focus on development of program sustainment plans,now turn your focus on getting the program sustainment plans implemented,make sure that lessons learned are stored to program management information system as per the planned guidelines
11,PgMP Sample Questions,Program Management,Benefits Management,1,"You are managing a program for one of the major clients of your organization to get the marketing campaign designed and run for 3 of the major products. It is a fairly short program that is expected to last for overall 14 months and one more month to go. It just has 5 component projects and no sub-program. In an internal meeting, PMO manager asked you, ""do you know how success of the program will be tracked?"" How would you respond him?",4,"Success of the program will be tracked based on how much the recipients get benefited. From the given options that would mean that how well the generated benefits sustain beyond program closure. (SPM Ed3 pg34)

Net Present Value is how organizations decide to invest in one program or the other.

Quality is important. Although, not as important as the overall benefits the recipients will get. Its like you purchased a TV that has good quality high resolution output with multiple advanced ports including WiFi support. But what if the TV doesn't last long? Well, then the quality of the TV is of not much use to the recipient. does it?

Schedule and cost adherence are important too for not only to avoid the program costs overweighing program benefits, but also to meet client expectations and the time constraint.",Benefits Management,Success of the program will be tracked based on net present value generated by the program benefits,Success of the program will be tracked based on sustainment of the generated benefits,success of the program will be tracked based on product quality delivered in terms of program benefits,Success of the program will be tracked based on its schedule and cost adherence,Success of the program will be tracked based on sustainment of the generated benefits
